participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
c88395a3,B,Instructions,21,block2,high_noise,1,win,547,1,1,0,0.52,0.4
c88395a3,B,Instructions,22,block2,high_noise,1,win,515,1,1,0,0.74,0.5
c88395a3,B,Instructions,23,block2,high_noise,1,win,432,1,1,0,0.6,0.68
c88395a3,B,Instructions,24,block2,high_noise,1,win,348,1,1,0,0.8,0.78
c88395a3,B,Instructions,25,block2,high_noise,1,loss,348,1,1,1,0.76,0.82
c88395a3,B,Instructions,26,block2,high_noise,0,loss,81,0,1,0,0.58,0.64
c88395a3,B,Instructions,27,block2,high_noise,1,win,480,1,1,0,0.68,0.82
c88395a3,B,Instructions,28,block2,high_noise,1,loss,432,1,1,1,0.7,0.86
c88395a3,B,Instructions,29,block2,high_noise,0,loss,331,0,1,0,0.62,0.64
c88395a3,B,Instructions,30,block2,high_noise,1,loss,65,1,1,1,0.76,0.64
c88395a3,B,Instructions,31,block2,high_noise,0,win,114,0,1,1,0.48,0.56
c88395a3,B,Instructions,32,block2,high_noise,1,win,532,1,1,0,0.4,0.24
c88395a3,B,Instructions,33,block2,high_noise,1,loss,416,0,0,0,0.66,0.44
c88395a3,B,Instructions,34,block2,high_noise,0,loss,466,1,0,1,0.44,0.34
c88395a3,B,Instructions,35,block2,high_noise,1,loss,164,0,0,0,0.48,0.56
c88395a3,B,Instructions,36,block2,high_noise,0,loss,265,1,0,1,0.46,0.12
c88395a3,B,Instructions,37,block2,high_noise,1,loss,49,0,0,0,0.62,0.62
c88395a3,B,Instructions,38,block2,high_noise,0,win,499,1,0,0,0.36,0.36
c88395a3,B,Instructions,39,block2,high_noise,0,loss,231,1,0,1,0.34,0.2
c88395a3,B,Instructions,40,block2,high_noise,1,win,198,0,0,1,0.58,0.44
c88395a3,B,Instructions,41,block2,high_noise,1,win,283,0,0,1,0.58,0.38
c88395a3,B,Instructions,42,block2,high_noise,1,loss,347,0,0,0,0.7,0.52
c88395a3,B,Instructions,43,block2,high_noise,0,win,232,1,0,0,0.6,0.18
c88395a3,B,Instructions,44,block2,high_noise,0,win,399,1,0,0,0.4,0.3
c88395a3,B,Instructions,45,block2,high_noise,0,win,833,1,0,0,0.36,0.22
c88395a3,B,Instructions,46,block2,high_noise,0,win,349,1,0,0,0.24,0.06
c88395a3,B,Instructions,47,block2,high_noise,0,win,267,1,0,0,0.32,0.1
c88395a3,B,Instructions,48,block2,high_noise,0,win,296,1,0,0,0.3,0.08
c88395a3,B,Instructions,49,block2,high_noise,0,win,283,1,0,0,0.22,0.12
c88395a3,B,Instructions,50,block2,high_noise,0,win,431,1,0,0,0.24,0.04
